68,173,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
69,172,NULL,32:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
70,157,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
71,154,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
72,151,NULL,32:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
73,152,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
74,158,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
75,179,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
76,170,NULL,32:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
77,181,15,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
78,166,NULL,32:00.0,運営・公演中止,NULL,NULL,NULL,NULL,NULL
79,153,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
80,155,0,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
81,183,15,32:00.0,運営中,00:00.0,00:00.0,発行中,35:00.0,35:00.0
82,195,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
83,162,100,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
84,184,60,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
85,178,0,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
86,194,NULL,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
87,161,5,32:00.0,運営中,00:00.0,45:00.0,NULL,NULL,NULL
88,180,0,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
89,185,50,32:00.0,運営中,00:00.0,00:00.0,発行中,35:00.0,35:00.0
90,160,70,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
91,163,15,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
92,168,15,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
93,164,35,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
94,174,65,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
95,191,NULL,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
96,171,35,32:00.0,運営中,00:00.0,00:00.0,発行中,50:00.0,50:00.0
97,167,15,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
98,176,0,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
99,189,40,32:00.0,運営中,00:00.0,00:00.0,発行中,40:00.0,00:00.0
100,175,35,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
101,165,25,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
102,169,30,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
103,159,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
104,156,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
105,234,20,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
106,202,NULL,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
107,222,130,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
108,236,5,32:00.0,運営中,30:00.0,00:00.0,NULL,NULL,NULL
109,235,5,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
110,220,15,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
111,239,10,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
112,238,20,32:00.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
113,223,160,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
114,243,130,32:00.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
115,246,45,32:01.0,運営中,00:00.0,00:00.0,発行終亁ENULL,NULL,
116,232,5,32:01.0,運営中,00:00.0,00:00.0,NULL,NULL,NULL
117,231,5,32:01.0,運営中,30:00.0,00:00.0,NULL,NULL,NULL
